,Restaurant Name,Category,Rating,Price,Address,Restaurant Detail Link
114,Madame Chang,Manyar,4.12 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Manyar Kertoarjo No. 43, Manyar, Surabaya",/restaurants/surabaya/madame-chang-manyar
115,Tampan Mie & Coffee,Rungkut | Kafe,4.25 /5,Di bawah Rp. 50.000 /orang,"Jl. Rungkut Madya (Depan UPN), Rungkut, Surabaya",/restaurants/surabaya/tampan-mie-dan-coffee-rungkut
116,Siam Thai Authentic Taste,Sukomanunggal | Thailand,4.12 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Raya Kupang Baru No. 74, Sukomanunggal, Surabaya",/restaurants/surabaya/siam-thai-authentic-taste-sukomanunggal
117,The Fak's,Pakal | Kafe,4.65 /5,Di bawah Rp. 50.000 /orang,"Jl. Northwest Boulevard Blok NV1 No. 18, Pakal, Surabaya",/restaurants/surabaya/the-fak-s-pakal
118,Sour Sally,Tegalsari | Yoghurt,4.10 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/sour-sally-tegalsari
119,Depot Mentari,Ngagel | Indonesia,4.44 /5,Di bawah Rp. 50.000 /orang,"Jl. Ngagel Madya No. 2B, Ngagel, Surabaya",/restaurants/surabaya/depot-mentari-ngagel
120,Starbucks,Wiyung | Kafe,4.09 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/starbucks-wiyung-3
121,Boncafe,Dukuh Pakis | Barat,4.07 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Bukit Darmo Boulevard, Dukuh Pakis, Surabaya",/restaurants/surabaya/boncafe-dukuh-pakis-2
122,Yamagoya Ramen,Tegalsari | Jepang,4.05 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/yamagoya-ramen-tegalsari
123,Yoshinoya,Dukuh Pakis | Jepang,4.00 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Bukit Darmo Boulevard No. 9, Dukuh Pakis, Surabaya",/restaurants/surabaya/yoshinoya-dukuh-pakis
124,41 Strip Club,Tenggilis Mejoyo | Kafe,4.55 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Tenggilis Barat I No. 21, Tenggilis Mejoyo, Surabaya",/restaurants/surabaya/41-strip-club-tenggilis-mejoyo
125,Zybrick,Wonocolo | Kafe,4.02 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Siwalankerto No. 120B, Wonocolo, Surabaya",/restaurants/surabaya/zybrick-wonocolo
126,Djournal Coffee,Mulyorejo | Kafe,4.07 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",/restaurants/surabaya/djournal-coffee-mulyorejo
127,Larazeta Restaurant & Gallery,Gubeng | Arab/Timur Tengah,4.23 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Biliton No. 27, Gubeng, Surabaya",/restaurants/surabaya/larazeta-restaurant-dan-gallery-gubeng
128,Kopi Pak Budi,Dukuh Pakis | Minuman,4.80 /5,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Sungkono, Dukuh Pakis, Surabaya",/restaurants/surabaya/kopi-pak-budi-dukuh-pakis
129,Frut-O Gelato,Tegalsari | Es Krim,4.16 /5,Di bawah Rp. 50.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/frut-o-gelato-tegalsari
130,Gerobak Ayam Geprek,Wiyung | Indonesia,4.18 /5,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/gerobak-ayam-geprek-wiyung
131,The Neighbors Cafe,Sukomanunggal | Kafe,4.06 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Darmo Harapan IX Blok EN No. 12, Sukomanunggal, Surabaya",/restaurants/surabaya/the-neighbors-cafe-sukomanunggal
132,Kale and Kin,Dukuh Pakis | Salad,4.33 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",/restaurants/surabaya/kale-and-kin-dukuh-pakis
133,Five Spice Eatery and Coffee,Sambikerep | Kafe,4.29 /5,Di bawah Rp. 50.000 /orang,"Jl. Taman Internasional, Sambikerep, Surabaya",/restaurants/surabaya/five-spice-eatery-and-coffee-sambikerep
134,Bon Ami Bakery,Wonocolo | Toko Roti dan Kue,4.55 /5,Di bawah Rp. 50.000 /orang,"Jl. Raya Jemursari No. 216, Wonocolo, Surabaya",/restaurants/surabaya/bon-ami-bakery-wonocolo
135,Sari Laut Kapasan,Simokerto | Indonesia,4.06 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Kapasan No. 27, Simokerto, Surabaya",/restaurants/surabaya/sari-laut-kapasan-simokerto
136,Frut-O Gelato,Dukuh Pakis | Es Krim,4.00 /5,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",/restaurants/surabaya/frut-o-gelato-dukuh-pakis
137,Many Pany Pancake & Waffle,Genteng | Dessert,4.04 /5,Di bawah Rp. 50.000 /orang,"Jl. Slamet No. 16, Genteng, Surabaya",/restaurants/surabaya/many-pany-pancake-dan-waffle-genteng
138,Kimukatsu,Mulyorejo | Jepang,4.14 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",/restaurants/surabaya/kimukatsu-mulyorejo
139,Excelso,Mulyorejo | Kafe,4.33 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",/restaurants/surabaya/excelso-mulyorejo-2
140,Option Billiard & Cafe,Lakarsantri | Kafe,4.27 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Bukit Golf Tengah Blok D1 No. 27, Lakarsantri, Surabaya",/restaurants/surabaya/option-billiard-dan-cafe-lakarsantri
141,Starbucks,Dukuh Pakis,4.05 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Sungkono No. 87, Dukuh Pakis, Surabaya",/restaurants/surabaya/starbucks-dukuh-pakis
142,Starbucks,Gubeng | Kafe,4.09 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Gubeng Pojok No. 1, Gubeng, Surabaya",/restaurants/surabaya/starbucks-gubeng
143,Urban Latte,Klampis | Kafe,4.40 /5,Di bawah Rp. 50.000 /orang,"Jl. Klampis Jaya No. 37B, Klampis, Surabaya",/restaurants/surabaya/urban-latte-klampis
144,Shihlin,Tegalsari | Snack,4.28 /5,Di bawah Rp. 50.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",/restaurants/surabaya/shihlin-tegalsari-3
145,Cafe Jalan Korea,Wonocolo | Korea,4.00 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Jemursari No. 76 Blok D No. 5 (Belakang Holland Bakery), Wonocolo, Surabaya",/restaurants/surabaya/cafe-jalan-korea-wonocolo
146,Warung Sego Maduro Suramadu,Bubutan | Indonesia,4.20 /5,Di bawah Rp. 50.000 /orang,"Jl. Kalibutuh No. 6, Bubutan, Surabaya",/restaurants/surabaya/warung-sego-maduro-suramadu-bubutan-1
147,Fish & Co.,Wiyung | Barat,4.29 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/fish-dan-co-wiyung
148,Pizza E Birra,Dukuh Pakis | Italia,4.01 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",/restaurants/surabaya/pizza-e-birra-dukuh-pakis
149,Dream of Kahyangan Art Resto,Lakarsantri | Indonesia,4.30 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puri Widya Kencana Blok LL No. 5, Lakarsantri, Surabaya",/restaurants/surabaya/dream-of-kahyangan-art-resto-lakarsantri
150,La Ribs,Wiyung | Barat,4.23 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/la-ribs-wiyung
151,Soto Podjok Kediri,Lakarsantri | Indonesia,4.16 /5,Di bawah Rp. 50.000 /orang,"Jl. Bukit Telaga Golf Blok TC3 No. 30, Lakarsantri, Surabaya",/restaurants/surabaya/soto-podjok-kediri-lakarsantri
152,Ludic,Tenggilis Mejoyo | Kafe,4.13 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Kendangsari No. 97, Tenggilis Mejoyo, Surabaya",/restaurants/surabaya/ludic-tenggilis-mejoyo
153,Starbucks,Rungkut | Kafe,4.11 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Dr. Ir. H. Soekarno No. 351, Rungkut, Surabaya",/restaurants/surabaya/starbucks-rungkut
154,Soto Banjar Pak Kumisss,Ngagel | Indonesia,4.32 /5,Di bawah Rp. 50.000 /orang,"Jl. Ngagel Jaya Barat No. 26, Ngagel, Surabaya",/restaurants/surabaya/soto-banjar-pak-kumisss-ngagel
155,Teazzi,Wiyung | Minuman,4.55 /5,Di bawah Rp. 50.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/teazzi-wiyung
156,Cincau Bistro,Dukuh Pakis | Kafe,4.07 /5,Di bawah Rp. 50.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",/restaurants/surabaya/cincau-bistro-dukuh-pakis
157,Kyoushi,Wiyung | Jepang,4.67 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/kyoushi-wiyung
158,Excelso,Gubeng | Kafe,4.08 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Biliton No. 77, Gubeng, Surabaya",/restaurants/surabaya/excelso-gubeng-1
159,De Mier,Wonokromo | Kafe,4.32 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Jambi No. 35, Wonokromo, Surabaya",/restaurants/surabaya/de-mier-wonokromo
160,Kopi Soe,Mulyorejo | Kafe,4.36 /5,Di bawah Rp. 50.000 /orang,"Jl. Raya Mulyosari No. 7A, Mulyorejo, Surabaya",/restaurants/surabaya/kopi-soe-mulyorejo
161,Kakkoii,Wonokromo | Jepang,4.45 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Adityawarman No. 42A - C, Wonokromo, Surabaya",/restaurants/surabaya/kakkoii-wonokromo
162,Housaku Sushi & Bento,Sambikerep | Jepang,4.20 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Taman Puspa Raya, Sambikerep, Surabaya",/restaurants/surabaya/housaku-sushi-dan-bento-sambikerep-2
163,Zenbu,Wiyung | Jepang,4.04 /5,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",/restaurants/surabaya/zenbu-wiyung
164,Co.choc,Tenggilis Mejoyo | Minuman,4.15 /5,Di bawah Rp. 50.000 /orang,"Jl. Tenggilis Mejoyo Blok AI No. 33 - 34, Tenggilis Mejoyo, Surabaya",/restaurants/surabaya/co-choc-tenggilis-mejoyo
165,Pukul Satu Kopi,Gubeng | Kafe,4.10 /5,Di bawah Rp. 50.000 /orang,"Jl. Dharmawangsa No. 142A, Gubeng, Surabaya",/restaurants/surabaya/pukul-satu-kopi-gubeng
166,Tous Les Jours,Mulyorejo | Toko Roti dan Kue,4.00 /5,Di bawah Rp. 50.000 /orang,"Jl. Dharmahusada Indah Timur No. 35 - 37, Mulyorejo, Surabaya",/restaurants/surabaya/tous-les-jours-mulyorejo
167,Verte Green Eats & Coffee,Wonokromo | Kafe,4.36 /5,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Jambi No. 47, Wonokromo, Surabaya",/restaurants/surabaya/verte-green-eats-dan-coffee-wonokromo-2
