,Restaurant Name,Category,Rating,Price Range,Address,Restaurant Detail Link,District
300,Red & White," Kafe,Lounge",4.0,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/red-dan-white-wiyung,Wiyung
301,Gioi Asian Bistro & Lounge," Barat,Indonesia",4.4,Di atas Rp. 200.000 /orang,"Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/gioi-asian-bistro-dan-lounge-tegalsari,Tegalsari
302,Kopitagram, Kafe,4.25,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Raya Tenggilis No. 93, Tenggilis Mejoyo, Surabaya",https://pergikuliner.com/restaurants/surabaya/kopitagram-tenggilis-mejoyo,Tenggilis Mejoyo
303,Maison Feerie, Toko Roti dan Kue,4.35,Di bawah Rp. 50.000 /orang,"Jl. Raya Laguna KJW Putih Tambak, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/maison-feerie-mulyorejo,Mulyorejo
304,Sake-yo, Jepang,4.25,Di atas Rp. 200.000 /orang,"Jl. Puncak Indah Lontar No. 2, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/sake-yo-wiyung,Wiyung
305,Five Monkeys, Barat,4.33,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Mayjend Yono Soewoyo, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/five-monkeys-dukuh-pakis,Dukuh Pakis
306,Asana Kopi, Kafe,4.47,Di bawah Rp. 50.000 /orang,"Jl. Nginden Semolo, Semolowaru, Surabaya",https://pergikuliner.com/restaurants/surabaya/asana-kopi-semolowaru,Semolowaru
307,Rome 21, Toko Roti dan Kue,4.47,Di bawah Rp. 50.000 /orang,"Jl. Kalisari Permai I, Mulyorejo, Surabaya",https://pergikuliner.com/restaurants/surabaya/rome-21-mulyorejo,Mulyorejo
308,The Library Coffee & Pastries - Hotel Ascott Waterplace Surabaya, Kafe,4.47,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Pakuwon Indah Lontar Timur Kav. 3 - 5, Wiyung, Surabaya",https://pergikuliner.com/restaurants/surabaya/the-library-coffee-dan-pastries-hotel-ascott-waterplace-surabaya-wiyung,Wiyung
309,Kartika Mie & Ramen, Jepang,4.53,Di bawah Rp. 50.000 /orang,"Jl. Kalisosok No. 15, Pabean Cantian, Surabaya",https://pergikuliner.com/restaurants/surabaya/kartika-mie-dan-ramen-pabean-cantian,Pabean Cantian
310,Yoshinoya, Jepang,4.12,Rp. 50.000 - Rp. 100.000 /orang,"Jl. Jend. A. Yani No. 16 - 18, Wonokromo, Surabaya",https://pergikuliner.com/restaurants/surabaya/yoshinoya-wonokromo,Wonokromo
311,Tanamera Coffee Roastery, Kafe,4.12,Rp. 100.000 - Rp. 200.000 /orang,"Jl. Sampoerna No. 6, Pabean Cantian, Surabaya",https://pergikuliner.com/restaurants/surabaya/tanamera-coffee-roastery-pabean-cantian,Pabean Cantian
